Time,controller_network_latency.mean {controllerid: 2828},controller_network_latency.mean {controllerid: 2830},controller_network_latency.mean {controllerid: 2831},controller_network_latency.mean {controllerid: 2832},controller_network_latency.mean {controllerid: 2833},controller_network_latency.mean {controllerid: 2834},controller_network_latency.mean {controllerid: 2835},controller_network_latency.mean {controllerid: 2836},controller_network_latency.mean {controllerid: 2837},controller_network_latency.mean {controllerid: 2838},controller_network_latency.mean {controllerid: 2839},controller_network_latency.mean {controllerid: 2840},controller_network_latency.mean {controllerid: 2841},controller_network_latency.mean {controllerid: 2842},controller_network_latency.mean {controllerid: 2843},controller_network_latency.mean {controllerid: 2844},controller_network_latency.mean {controllerid: 2845},controller_network_latency.mean {controllerid: 2846},controller_network_latency.mean {controllerid: 2847},controller_network_latency.mean {controllerid: 2848},controller_network_latency.mean {controllerid: 2849},controller_network_latency.mean {controllerid: 2850},controller_network_latency.mean {controllerid: 2851},controller_network_latency.mean {controllerid: 2852},controller_network_latency.mean {controllerid: 2853},controller_network_latency.mean {controllerid: 2854},controller_network_latency.mean {controllerid: 2855},controller_network_latency.mean {controllerid: 2856},controller_network_latency.mean {controllerid: 2857},controller_network_latency.mean {controllerid: 2858},controller_network_latency.mean {controllerid: 2859},controller_network_latency.mean {controllerid: 2860},controller_network_latency.mean {controllerid: 2861},controller_network_latency.mean {controllerid: 4416},controller_network_latency.mean {controllerid: 8083},controller_network_latency.mean {controllerid: 8084}
1633287540000,11.087,5.142,7.606,6.429,,5.683,8.78,17.902,17.199,9.97,,7.673,,,8.205,,18.173,,,9.685,7.53,8.464,,,7.574,7.13,,,17.773,6.727,7.411,,,5.162,5.299,
1633287600000,7.832,4.961,7.736,7.493,6.914,8.625,7.701,6.987,,,6.586,,8.212,8.36,8.191,7.104,7.116,16.257,16.251,,8.234,8.425,9.077,18.365,6.755,7.611,,8.752,7.258,7.821,17.855,6.578,5.959,5.483,5.639,5.364
1633287660000,6.714,4.125,7.053,,36.133,,17.732,,7.975,7.943,6.072,6.529,6.391,30.331,8.429,7.115,,6.208,22.42,7.478,20.524,6.931,8.004,17.844,7.384,,,6.476,7.011,,32.495,76.592,112.173,5.238,5.025,5.208
1633287720000,,5.164,,7.666,31.27,16.603,,6.534,7.297,8.389,7.39,8.116,7.719,7.241,,11.003,6.555,10.631,14.507,7.75,,,8.737,8.756,7.501,7.999,,7.86,,7.489,6.166,7.94,8.535,,5.892,5.19
1633287780000,8.133,5.662,6.507,7.014,,7.594,7.774,8.807,18.359,10.999,7.283,7.201,7.597,8.595,6.82,7.459,19.667,6.727,13.879,9.159,7.536,7.304,,8.149,,17.523,,8.387,18.317,7.724,,,,5.6,5.784,5.305
1633287840000,7.356,,11.126,24.361,7.582,7.441,7.967,6.054,7.92,8.36,,6.66,,,7.004,,6.552,,,9.09,7.944,7.964,9.034,,6.391,6.857,,,19.214,5.756,14.134,5.538,9.732,6.149,,5.185
1633287900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633287960000,,,,,,,,,,,,,,7.086,7.784,,,,,,,,9.948,,,,,,6.893,,,6.164,,,4.697,
1633288020000,,3.812,,6.25,,,,7.359,20.787,8.406,6.758,6.95,,7.116,,6.992,6.237,8.009,16.752,,,,8.691,,6.743,,,9.539,19.992,6.917,8.376,18.303,,,6.35,4.32
1633288080000,18.367,6.47,5.824,7.372,,20.123,8.621,8.494,8.111,8.867,7.231,7.225,8.547,18.885,7.858,,8.529,,12.208,7.495,9.134,8.44,,,,12.044,,7.848,,8.22,,,,5.129,5.28,4.898
1633288140000,6.445,5.028,18.897,6.977,8.007,8.936,6.655,6.363,8.467,8.636,,,,,18.576,7.632,7.106,7.481,,8.253,8.397,6.824,9.269,8.787,7.696,7.045,,,8.29,5.912,7.571,6.803,7.137,5.659,6.187,5.603
1633288200000,132.537,,18.752,7.59,13.965,,6.836,23.022,,,8.374,18.952,8.582,6.952,7.023,6.944,7.286,9.984,12.429,,8.448,6.868,8.12,21.164,7.065,7.576,,8.338,5.783,7.561,7.033,8.037,7.477,5.822,,
1633288260000,7.192,6.278,6.782,,7.803,7.893,16.97,,7.081,9.225,6.271,20.074,19.796,8.463,17.304,8.057,,17.105,14.841,7.74,18.294,18.898,13.556,9.279,7.373,,,7.489,7.828,,7.783,8.451,6.474,5.258,4.978,6.631
