Time,controller_raw_network_health.mean {controllerid: 2828},controller_raw_network_health.mean {controllerid: 2830},controller_raw_network_health.mean {controllerid: 2831},controller_raw_network_health.mean {controllerid: 2832},controller_raw_network_health.mean {controllerid: 2833},controller_raw_network_health.mean {controllerid: 2834},controller_raw_network_health.mean {controllerid: 2835},controller_raw_network_health.mean {controllerid: 2836},controller_raw_network_health.mean {controllerid: 2837},controller_raw_network_health.mean {controllerid: 2838},controller_raw_network_health.mean {controllerid: 2839},controller_raw_network_health.mean {controllerid: 2840},controller_raw_network_health.mean {controllerid: 2841},controller_raw_network_health.mean {controllerid: 2842},controller_raw_network_health.mean {controllerid: 2843},controller_raw_network_health.mean {controllerid: 2844},controller_raw_network_health.mean {controllerid: 2845},controller_raw_network_health.mean {controllerid: 2846},controller_raw_network_health.mean {controllerid: 2847},controller_raw_network_health.mean {controllerid: 2848},controller_raw_network_health.mean {controllerid: 2849},controller_raw_network_health.mean {controllerid: 2850},controller_raw_network_health.mean {controllerid: 2851},controller_raw_network_health.mean {controllerid: 2852},controller_raw_network_health.mean {controllerid: 2853},controller_raw_network_health.mean {controllerid: 2854},controller_raw_network_health.mean {controllerid: 2855},controller_raw_network_health.mean {controllerid: 2856},controller_raw_network_health.mean {controllerid: 2857},controller_raw_network_health.mean {controllerid: 2858},controller_raw_network_health.mean {controllerid: 2859},controller_raw_network_health.mean {controllerid: 2860},controller_raw_network_health.mean {controllerid: 2861},controller_raw_network_health.mean {controllerid: 4416},controller_raw_network_health.mean {controllerid: 8083},controller_raw_network_health.mean {controllerid: 8084}
1633291260000,76,,73,76,82,91,100,82,77,100,88,86,72,,,100,100,100,100,100,,100,100,100,100,79,,100,,,,,,101,,
1633291320000,78,101,72,81,86,86,,84,77,100,,87,73,127,100,100,100,,,100,100,,100,100,,82,,100,100,100,79,96,90,101,101,101
1633291380000,76,101,70,75,84,,100,84,,,86,,,127,100,,100,100,100,100,100,100,,,100,79,,100,100,100,77,97,89,101,101,101
1633291440000,,101,,,,88,100,83,77,100,88,86,72,127,100,100,100,100,100,,100,100,100,100,100,81,,,100,100,78,97,88,101,101,101
1633291500000,77,101,73,76,78,86,100,,77,100,86,86,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,78,96,,,101,101
1633291560000,77,101,71,75,81,87,100,83,80,100,88,86,73,,,100,100,100,100,100,,100,99,100,100,79,,100,,,,,87,101,,101
1633291620000,75,,72,77,79,86,,83,77,100,,89,71,127,100,100,100,,,100,100,,100,100,,81,,100,100,100,78,96,88,101,101,
1633291680000,79,101,72,76,79,,100,84,,,87,,,127,100,,100,100,100,100,100,100,,,100,79,,100,100,100,78,96,88,101,101,101
1633291740000,,101,,,,87,100,84,78,100,90,86,74,127,100,100,100,100,100,,100,100,100,100,100,81,,,100,100,79,97,93,101,101,101
1633291800000,77,101,75,77,82,86,100,,77,100,87,89,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,79,,,,101,101
1633291860000,78,101,76,73,80,84,100,84,79,100,,86,74,,,100,100,100,100,100,,100,100,100,100,79,,100,,,,98,89,101,101,101
1633291920000,87,,74,76,80,86,,84,76,100,89,88,70,127,100,100,100,,,100,100,,100,100,,80,,100,100,100,80,96,90,101,,101
1633291980000,76,101,73,,,,100,84,,,87,,,127,100,,100,100,100,100,100,100,,,100,79,,100,100,100,77,98,88,101,101,
1633292040000,,101,,75,81,88,100,,76,100,88,86,71,127,100,100,100,100,100,,100,100,100,100,100,79,,,100,100,78,96,88,101,101,101
1633292100000,87,101,73,76,79,87,100,85,78,100,87,88,73,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,80,,,101,101,101
1633292160000,77,101,72,76,83,86,100,83,78,100,,88,73,127,,100,100,100,100,100,,,100,100,100,79,,100,,,,97,87,,101,101
1633292220000,79,101,70,76,80,85,,84,76,100,89,89,71,,100,100,100,,,100,100,100,100,100,,80,,100,100,100,79,96,90,101,101,101
1633292280000,75,,72,,,,100,85,,,87,,,127,100,,100,100,100,100,100,100,,,100,79,,100,100,100,82,97,87,101,,
1633292340000,,101,,74,88,86,100,,77,100,87,86,72,127,100,100,100,100,100,,100,100,100,100,100,80,,,100,100,79,96,88,101,101,101
1633292400000,79,101,71,75,77,85,100,85,77,100,87,87,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,82,,,101,101,101
1633292460000,77,101,70,76,82,85,100,85,78,100,,88,73,127,,100,100,100,100,100,,,100,100,100,80,,100,,,,97,86,101,101,101
1633292520000,76,101,72,76,79,,,83,77,100,89,88,71,,100,100,100,,,100,100,100,100,100,,81,,100,100,100,78,97,89,,101,101
1633292580000,,101,71,,,85,100,84,,,89,,,127,100,,100,100,100,100,100,100,,,100,79,,100,100,100,77,95,88,101,,101
1633292640000,79,,,76,82,90,100,,77,100,87,87,73,127,100,100,100,100,100,,100,100,100,100,100,81,,,100,100,78,96,,101,101,
1633292700000,77,101,71,77,79,85,100,83,76,100,90,88,70,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,,,89,101,101,101
1633292760000,78,101,72,76,79,88,100,83,77,100,,87,72,127,,100,100,100,100,100,,,100,100,100,80,,100,,,82,96,88,101,101,101
1633292820000,78,101,72,74,,,,83,79,100,87,88,72,,100,100,100,,,100,100,100,100,100,,79,,100,100,100,77,97,86,,101,101
1633292880000,,101,69,,81,86,100,86,,,90,,,127,100,,100,100,100,100,100,100,,,100,80,,100,100,100,77,97,88,101,101,101
1633292940000,77,,72,76,81,88,100,,76,100,88,86,75,127,100,100,100,100,100,,100,100,100,100,100,79,,,100,100,78,96,,101,,101
1633293000000,76,101,,75,79,86,100,84,77,100,88,87,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,,,88,101,101,
1633293060000,77,101,71,75,78,90,100,85,76,100,,87,73,127,,100,100,100,100,100,,,100,100,100,80,,100,,,78,97,88,101,101,101
1633293120000,75,101,70,75,,,,84,,,88,,72,,100,100,100,,,100,100,100,100,,,80,,100,100,100,78,97,91,101,101,101
1633293180000,,101,72,,79,86,100,85,80,100,88,86,,127,100,,100,100,99,,100,100,,100,100,81,,100,100,100,77,96,90,,101,101
1633293240000,81,101,73,75,78,86,100,,76,100,89,86,73,127,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,79,96,,101,101,101
1633293300000,78,,,76,79,87,100,85,77,100,89,88,72,127,100,100,,100,100,100,100,100,100,100,100,80,,100,100,100,,,89,101,,
1633293360000,77,101,72,75,,86,100,85,77,100,,87,74,127,,100,100,100,100,100,,,100,100,,80,,100,,,79,96,88,101,101,101
1633293420000,,101,72,76,78,,,85,,,90,,70,,100,100,100,,,100,100,100,100,,100,80,,100,100,100,77,96,87,101,101,101
1633293480000,79,101,72,,79,84,100,84,78,100,87,87,,127,100,,100,100,100,,100,100,,100,100,80,,100,100,100,78,97,87,101,101,101
1633293540000,83,101,75,76,79,84,100,,76,100,86,87,73,127,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,80,,,,101,101
1633293600000,78,101,,76,79,88,100,86,76,100,,86,71,127,,100,,100,100,100,100,100,100,100,100,79,,100,100,100,,96,88,101,101,101
1633293660000,87,,72,74,,84,100,86,79,100,87,87,73,127,100,100,100,,,100,,,100,100,,80,,100,,,79,97,88,101,,
1633293720000,,101,72,77,82,,,84,,,89,,70,127,100,100,100,100,100,100,100,100,100,,100,78,,100,100,100,78,97,87,101,101,101
1633293780000,77,101,70,,88,90,100,86,77,100,87,86,,,100,,100,100,100,,100,100,,100,100,80,,100,100,100,79,96,88,101,101,101
1633293840000,88,101,73,76,79,87,100,,77,100,88,88,73,127,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,83,,,,101,101
1633293900000,76,101,,76,80,89,100,85,76,100,,87,71,127,,100,,100,100,100,100,100,100,100,100,78,,100,100,100,,96,87,101,101,101
1633293960000,84,,71,75,,86,,86,76,100,86,86,71,127,100,100,100,,,100,,,100,100,,80,,100,,,79,97,89,101,,101
1633294020000,,101,72,,80,,100,85,,,87,,70,127,100,100,100,100,100,100,100,100,100,,100,79,,100,100,100,82,96,87,101,101,
1633294080000,78,101,71,76,81,85,100,,77,100,86,87,,,100,,100,100,100,,100,100,,100,100,80,,100,100,100,79,96,,101,101,101
1633294140000,79,101,70,77,83,85,100,86,78,100,88,90,73,127,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,82,,90,101,101,101
1633294200000,80,101,,77,,88,100,84,78,100,,86,71,127,,100,,100,100,100,100,100,100,100,100,79,,100,100,100,,97,88,,101,101
1633294260000,77,101,71,81,79,86,,85,77,100,88,86,72,127,100,100,100,,,100,,,100,100,,81,,100,,,79,95,89,101,101,101
1633294320000,,,72,,78,,100,85,,,88,,,127,100,,100,100,100,100,100,100,100,,100,82,,100,100,100,81,97,87,101,,
1633294380000,79,101,73,75,84,86,100,,78,100,86,86,76,,100,100,100,100,100,,100,100,,100,100,78,,,100,100,78,96,,101,101,101
1633294440000,76,101,70,81,80,84,100,86,76,100,86,88,71,127,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,80,,87,101,101,101
1633294500000,77,101,,79,,84,100,83,79,100,,86,74,127,,100,,100,100,100,,100,100,100,100,83,,100,100,100,,97,87,101,101,101
1633294560000,,101,74,77,78,85,,85,77,100,88,,72,127,100,100,100,,,100,100,,100,100,,80,,100,,,78,96,88,,101,101
1633294620000,78,101,71,,81,,100,84,,,87,86,,127,100,,100,100,100,100,100,100,100,,100,82,,100,100,100,81,98,88,101,101,101
1633294680000,78,,73,75,79,90,100,,76,100,87,86,69,,100,100,100,100,100,,100,100,,100,100,81,,,100,100,84,,,101,,
1633294740000,78,101,72,75,79,85,100,85,77,100,86,88,73,127,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,85,96,89,101,101,101
1633294800000,76,101,,78,,90,100,84,76,100,,86,71,127,,100,,100,100,100,,100,100,100,100,81,,100,100,100,,97,87,101,101,101
1633294860000,,101,72,74,84,,,84,,100,86,,73,127,100,100,100,,,100,100,,100,100,,80,,100,,,85,96,87,101,101,101
1633294920000,77,101,72,,78,86,100,83,81,,87,87,,127,100,,100,100,100,100,100,100,100,,100,83,,100,100,100,77,96,87,,101,101
1633294980000,79,,71,76,80,86,100,,76,100,87,86,71,,100,100,100,100,100,,100,100,,100,100,82,,,100,100,78,,,101,,101
1633295040000,76,101,70,74,,84,100,83,78,100,87,87,72,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,78,96,87,101,101,
1633295100000,77,101,,74,78,85,100,83,78,100,,86,72,127,,100,100,100,100,100,,100,100,100,100,82,,100,100,100,,97,89,101,101,101
1633295160000,,101,77,,81,,,83,,,90,,72,127,100,100,100,,,100,100,,100,100,,82,,100,,,80,95,87,101,101,101
1633295220000,76,101,71,76,90,85,100,83,80,100,86,88,,127,100,,100,100,100,100,100,100,100,,100,81,,100,100,100,78,96,87,,101,101
1633295280000,77,101,73,74,82,87,100,,77,100,91,89,73,,100,100,100,100,100,,100,100,,100,100,82,,100,100,100,79,,,101,101,101
1633295340000,76,,71,75,,85,100,83,77,100,,87,71,127,100,100,,100,100,100,100,100,100,100,100,,,,100,100,,96,87,101,,101
1633295400000,77,101,,74,80,86,100,83,76,100,88,86,73,127,,100,100,100,100,100,,100,100,100,100,82,,100,100,,77,98,90,101,101,
1633295460000,,101,74,,79,,,84,,,91,,71,127,100,100,100,,,100,100,,100,100,,80,,100,,100,79,95,87,101,101,101
1633295520000,76,101,72,77,79,84,100,83,78,100,88,90,,127,100,,100,100,100,100,100,100,100,,100,82,,100,100,100,78,96,,101,101,101
1633295580000,77,101,75,75,82,87,100,,78,100,86,88,72,,100,100,100,100,100,,100,100,,100,100,79,,,100,100,82,,88,,101,101
1633295640000,76,101,71,77,,85,100,83,77,100,,88,71,127,100,100,,100,100,100,100,100,100,100,100,,,100,100,100,,97,87,101,101,101
1633295700000,77,,72,75,79,88,100,84,76,100,88,87,73,127,,100,100,100,100,100,,100,100,100,100,82,,100,100,,77,96,90,101,,
