Time,controller_network_packet_loss.mean {controllerid: 2828},controller_network_packet_loss.mean {controllerid: 2830},controller_network_packet_loss.mean {controllerid: 2831},controller_network_packet_loss.mean {controllerid: 2832},controller_network_packet_loss.mean {controllerid: 2833},controller_network_packet_loss.mean {controllerid: 2834},controller_network_packet_loss.mean {controllerid: 2835},controller_network_packet_loss.mean {controllerid: 2836},controller_network_packet_loss.mean {controllerid: 2837},controller_network_packet_loss.mean {controllerid: 2838},controller_network_packet_loss.mean {controllerid: 2839},controller_network_packet_loss.mean {controllerid: 2840},controller_network_packet_loss.mean {controllerid: 2841},controller_network_packet_loss.mean {controllerid: 2842},controller_network_packet_loss.mean {controllerid: 2843},controller_network_packet_loss.mean {controllerid: 2844},controller_network_packet_loss.mean {controllerid: 2845},controller_network_packet_loss.mean {controllerid: 2846},controller_network_packet_loss.mean {controllerid: 2847},controller_network_packet_loss.mean {controllerid: 2848},controller_network_packet_loss.mean {controllerid: 2849},controller_network_packet_loss.mean {controllerid: 2850},controller_network_packet_loss.mean {controllerid: 2851},controller_network_packet_loss.mean {controllerid: 2852},controller_network_packet_loss.mean {controllerid: 2853},controller_network_packet_loss.mean {controllerid: 2854},controller_network_packet_loss.mean {controllerid: 2855},controller_network_packet_loss.mean {controllerid: 2856},controller_network_packet_loss.mean {controllerid: 2857},controller_network_packet_loss.mean {controllerid: 2858},controller_network_packet_loss.mean {controllerid: 2859},controller_network_packet_loss.mean {controllerid: 2860},controller_network_packet_loss.mean {controllerid: 2861},controller_network_packet_loss.mean {controllerid: 4416},controller_network_packet_loss.mean {controllerid: 8083},controller_network_packet_loss.mean {controllerid: 8084}
1633291200000,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0
1633291260000,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,0,,
1633291320000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
1633291380000,0,0,0,0,0,,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633291440000,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633291500000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0
1633291560000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,0,0,,0
1633291620000,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,
1633291680000,0,0,0,0,0,,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633291740000,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633291800000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0
1633291860000,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,0,0,0,0,0
1633291920000,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,0,,0,0,0,0,0,0,0,,0
1633291980000,0,0,0,,,,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,
1633292040000,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633292100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0
1633292160000,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,,,,0,0,,0,0
1633292220000,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
1633292280000,0,,0,,,,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,
1633292340000,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
1633292400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0
1633292460000,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,,,,0,0,0,0,0
1633292520000,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0
1633292580000,,0,0,,,0,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,0
1633292640000,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,0,0,
1633292700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0
1633292760000,0,0,0,0,0,0,0,0,0,20,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,,,0,0,0,0,0,0
1633292820000,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0
1633292880000,,0,0,,0,0,0,0,,,0,,,0,0,,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
1633292940000,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,0,,0
1633293000000,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,
1633293060000,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,,,0,0,0,0,0,0
1633293120000,0,0,0,0,,,,0,,,0,,0,,0,0,0,,,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0
1633293180000,,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0
1633293240000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0
1633293300000,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,
1633293360000,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,,0,,0,,,0,0,0,0,0,0
1633293420000,,0,0,0,0,,,0,,,0,,0,,0,0,0,,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
